"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"HVICBUS","199201","2.75","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199202","2.285","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199203","2.77","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199204","2.479","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199205","2.826","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199206","2.855","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199207","2.497","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199208","2.313","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199209","2.136","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199210","2.101","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199211","2.472","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
